ลําดับ,วันที่ตอบรับสมาชิก,รหัสสมาชิก,ชื่อสถานศึกษา,สังกัด,ตําบล/แขวง,อําเภอ /เขต,จังหวัด,รหัสไปรษณีย์
81,ปี 2556,7-50130-001,โรงเรียนแม่ตะไคร้,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลทาเหนือ,อําเภอแม่ออน,เชียงใหม่,50130
82,ปี 2556,7-50130-002,โรงเรียนแม่ออนวิทยาลัย,สํานักงานเขตพื้นที่การศึกษามัธยมศึกษาเชียงใหม่,ตําบลดอนกลาง,อําเภอแม่ออน,เชียงใหม่,50130
83,ปี 2558,7-50130-003,โรงเรียนสวนเด็กสันกําแพง,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลแม่ปูคา,อําเภอสันกําแพง,เชียงใหม่,50130
84,ปี 2559,7-50130-004,โรงเรียนอนุบาลองค์การบริหารส่วนตําบลห้วยแก้ว,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลห้วยแก้ว,อําเภอแม่ออน,เชียงใหม่,50130
85,ปี 2562,7-50130-005,โรงเรียนบ้านบวกค้าง,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลบวกค้าง,อําเภอสันกําแพง,เชียงใหม่,50130
86,ปี 2562,7-50130-006,โรงเรียนสันกําแพงคันธาอนุสรณ์,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
87,ปี 2562,7-50130-007,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอสันกําแพง,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
88,ปี 2563,7-50130-008,โรงเรียนอนุบาลเทศบาลตําบลบวกค้าง,กรมส่งเสริมการปกครองท้องถิ่น,ตําบลบวกค้าง,อําเภอสันกําแพง,เชียงใหม่,50130
89,ปี 2563,7-50130-009,โรงเรียนวัดสันมะฮกฟ้า,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลต้นเปา,อําเภอสันกําแพง,เชียงใหม่,50130
90,ปี 2563,7-50130-010,ศูนย์ส่งเสริมการเรียนรู้ระดับอําเภอแม่ออน,สํานักงานส่งเสริมการเรียนรู้ประจําจังหวัดเชียงใหม่ (สกร.),ตําบลออนกลาง,อําเภอแม่ออน,เชียงใหม่,50130
91,ปี 2563,7-50130-011,โรงเรียนวัดสันป่าค่า,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลต้นเปา,อําเภอสันกําแพง,เชียงใหม่,50130
92,ปี 2567,7-50130-012,วิทยาลัยเทคนิคสันกําแพง,สํานักงานคณะกรรมการการอาชีวศึกษา,ตําบลสหกรณ,อําเภอแม่ออน,เชียงใหม่,50130
93,ปี 2568,7-50130-013,โรงเรียนวัดห้วยแก้ว,สํานักงานเขตพื้นที่การศึกษาประถมศึกษาเชียงใหม่ เขต 1,ตําบลห้วยแก้ว,อําเภอแม่ออน,เชียงใหม่,50130
94,ปี 2568,7-50130-014,โรงเรียนอนุบาลแม่บัวคลี่,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
95,ปี 2568,7-50130-015,โรงเรียนอนุบาลร่มแก้ว,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลต้นเปา,อําเภอสันกําแพง,เชียงใหม่,50130
96,ปี 2568,7-50130-016,โรงเรียนอนุบาลสุขประเสริฐ,สำนักงานคณะกรรมการส่งเสริมการศึกษาเอกชน,ตําบลสันกําแพง,อําเภอสันกําแพง,เชียงใหม่,50130
